22:11:41 INFO  run extreme-full-1.6M-d256h8-v2 | device=cuda | params=1564932 | d256/h8 budget 32 preset extreme-full budget_scale 1.000
01:21:22 INFO  step  12500 | loss 1.0939 | cell 0.838 | grid 0.654 | stop 23.5 | 1.1 it/s
01:22:51 INFO  step  12600 | loss 1.1490 | cell 0.809 | grid 0.599 | stop 24.1 | 1.1 it/s
01:24:20 INFO  step  12700 | loss 1.1955 | cell 0.789 | grid 0.565 | stop 24.5 | 1.1 it/s
01:25:50 INFO  step  12800 | loss 1.1334 | cell 0.828 | grid 0.630 | stop 24.3 | 1.1 it/s
01:27:18 INFO  step  12900 | loss 1.1308 | cell 0.822 | grid 0.615 | stop 23.8 | 1.1 it/s
01:28:46 INFO  step  13000 | loss 1.1691 | cell 0.809 | grid 0.589 | stop 24.5 | 1.1 it/s
01:28:49 INFO  eval  step  13000 | solved 0.6064 | finished 0.60 | passes 23.42
01:30:56 INFO  step  13100 | loss 1.1379 | cell 0.810 | grid 0.596 | stop 23.8 | 1.1 it/s
01:32:35 INFO  step  13200 | loss 1.1262 | cell 0.833 | grid 0.625 | stop 23.9 | 1.1 it/s
01:34:04 INFO  step  13300 | loss 1.1540 | cell 0.816 | grid 0.612 | stop 24.1 | 1.1 it/s
01:35:33 INFO  step  13400 | loss 1.1633 | cell 0.811 | grid 0.599 | stop 24.3 | 1.1 it/s
01:37:01 INFO  step  13500 | loss 1.0685 | cell 0.848 | grid 0.667 | stop 23.7 | 1.1 it/s
01:38:29 INFO  step  13600 | loss 1.1501 | cell 0.812 | grid 0.609 | stop 24.0 | 1.1 it/s
01:39:57 INFO  step  13700 | loss 1.1584 | cell 0.810 | grid 0.596 | stop 24.0 | 1.1 it/s
01:41:25 INFO  step  13800 | loss 1.1544 | cell 0.810 | grid 0.604 | stop 24.1 | 1.1 it/s
01:42:52 INFO  step  13900 | loss 1.1846 | cell 0.796 | grid 0.589 | stop 24.4 | 1.1 it/s
01:44:18 INFO  step  14000 | loss 1.1292 | cell 0.827 | grid 0.620 | stop 24.0 | 1.1 it/s
01:44:21 INFO  eval  step  14000 | solved 0.6206 | finished 0.62 | passes 23.47
01:46:13 INFO  step  14100 | loss 1.1630 | cell 0.822 | grid 0.628 | stop 24.5 | 1.1 it/s
01:48:05 INFO  step  14200 | loss 1.1065 | cell 0.827 | grid 0.641 | stop 23.6 | 1.1 it/s
01:49:33 INFO  step  14300 | loss 1.1501 | cell 0.817 | grid 0.602 | stop 24.2 | 1.1 it/s
01:51:01 INFO  step  14400 | loss 1.1573 | cell 0.814 | grid 0.607 | stop 24.5 | 1.1 it/s
01:52:31 INFO  step  14500 | loss 1.1133 | cell 0.825 | grid 0.638 | stop 23.4 | 1.1 it/s
01:53:57 INFO  step  14600 | loss 1.1827 | cell 0.801 | grid 0.594 | stop 24.1 | 1.1 it/s
01:55:24 INFO  step  14700 | loss 1.1675 | cell 0.809 | grid 0.586 | stop 24.3 | 1.1 it/s
01:56:50 INFO  step  14800 | loss 1.1479 | cell 0.808 | grid 0.576 | stop 23.8 | 1.1 it/s
01:58:18 INFO  step  14900 | loss 1.1776 | cell 0.803 | grid 0.586 | stop 24.2 | 1.1 it/s
01:59:44 INFO  step  15000 | loss 1.0922 | cell 0.828 | grid 0.648 | stop 23.5 | 1.1 it/s
